clean_prefix,patch_prefix,clean_answer,patch_answer,case,be_conjugations_clean,be_conjugations_clean_tok,be_conjugations_patch,be_conjugations_patch_tok,clean_answer_logits,clean_answer_probs,clean_answer_rank,clean_be_conjugations_rank,clean_be_conjugations_logits_diff,clean_be_conjugations_probs,clean_be_conjugations_probs_diff,patch_answer_logits,patch_answer_probs,patch_answer_rank,patch_be_conjugations_rank,patch_be_conjugations_logits_diff,patch_be_conjugations_probs,patch_be_conjugations_probs_diff
The doctors that the executives like,The doctor that the executives like, go, goes,plural_plural, are,708, is,603,22.554332733154297,0.0005501897539943457,73,1,2.173786163330078,0.0694492980837822,0.06154970824718475,22.648643493652344,0.0005144568858668208,70,2,2.342733383178711,0.06429558992385864,0.05811905115842819
The fathers that the driver visits,The father that the driver visits, have, has,plural_singular, are,708, is,603,27.392532348632812,0.05461018905043602,2,0,4.004188537597656,0.3601139187812805,0.35354578495025635,26.887353897094727,0.03317759931087494,5,0,5.610015869140625,0.24549035727977753,0.2445916086435318
The boys that the parents inform,The boy that the parents inform, go, goes,plural_plural, are,708, is,603,21.417064666748047,0.0002764122618827969,90,5,1.6059513092041016,0.05246198922395706,0.04193294420838356,20.39798927307129,9.140023030340672e-05,137,6,1.639474868774414,0.04476720467209816,0.03607869893312454
The aunts that the chef praises,The aunt that the chef praises, go, goes,plural_singular, are,708, is,603,22.063894271850586,0.00023620268621016294,120,0,2.4063587188720703,0.22973322868347168,0.20902439951896667,21.849159240722656,0.0001867150713223964,125,1,3.9275588989257812,0.153435617685318,0.15041421353816986
The woman that the skaters like,The women that the skaters like, is, are,singular_plural, is,603, are,708,27.7381649017334,0.07810589671134949,2,2,2.488283157348633,0.07810589671134949,0.07161901146173477,28.39588737487793,0.140856072306633,1,1,1.4517631530761719,0.140856072306633,0.10787362605333328
The friends that the parents inform,The friend that the parents inform, have, has,plural_plural, are,708, is,603,24.525041580200195,0.006666467525064945,16,7,1.7475395202636719,0.032333191484212875,0.026700682938098907,24.17099380493164,0.004284400027245283,22,6,2.1614761352539062,0.04914227873086929,0.043483298271894455
The carpenter that the driver influences,The carpenters that the driver influences, has, have,singular_singular, is,603, are,708,26.616823196411133,0.019461901858448982,11,0,2.9290924072265625,0.1630827933549881,0.15436674654483795,26.694364547729492,0.020983677357435226,11,0,1.696737289428711,0.17405149340629578,0.14215123653411865
The victim that the guard informs,The victims that the guard informs, is, are,singular_singular, is,603, are,708,26.50587272644043,0.042716704308986664,4,4,3.9849109649658203,0.042716704308986664,0.041922423988580704,26.696367263793945,0.05011667311191559,4,4,1.7686710357666016,0.05011667311191559,0.04156879708170891
The uncle that the parents praise,The uncles that the parents praise, goes, go,singular_plural, is,603, are,708,21.14580535888672,0.0001124819609685801,161,1,2.9282150268554688,0.11223204433917999,0.10622847825288773,21.54135513305664,0.00016112760931719095,143,0,3.0625171661376953,0.13615481555461884,0.129786878824234
The guy that the dancer likes,The guys that the dancer likes, does, do,singular_singular, is,603, are,708,25.879743576049805,0.009637435898184776,14,0,6.003288269042969,0.3519646227359772,0.351095050573349,25.22504234313965,0.00422681262716651,30,0,0.09716224670410156,0.1372157484292984,0.012704968452453613
The singer that the parents describe,The singers that the parents describe, is, are,singular_plural, is,603, are,708,27.892730712890625,0.14273770153522491,1,1,2.850006103515625,0.14273770153522491,0.13448119163513184,28.863628387451172,0.2389993667602539,0,0,3.50396728515625,0.2389993667602539,0.2318107932806015
The doctors that the executive protects,The doctor that the executive protects, do, does,plural_singular, are,708, is,603,26.083118438720703,0.013169592246413231,11,0,2.5663185119628906,0.3447285592556,0.3182472586631775,25.54017448425293,0.008232207968831062,13,0,5.447904586791992,0.36966484785079956,0.36807331442832947
The mothers that the parent likes,The mother that the parent likes, are, is,plural_singular, are,708, is,603,26.935312271118164,0.09878341108560562,2,2,0.7606925964355469,0.09878341108560562,0.05261771380901337,26.6822566986084,0.14390142261981964,2,2,4.964694976806641,0.14390142261981964,0.14289698004722595
The aunt that the architect visits,The aunts that the architect visits, has, have,singular_singular, is,603, are,708,27.274839401245117,0.04358304664492607,4,1,6.55607795715332,0.22358302772045135,0.22326521575450897,27.129108428955078,0.03666558489203453,4,0,4.503286361694336,0.27600419521331787,0.27294811606407166
The girl that the skater protects,The girls that the skater protects, has, have,singular_singular, is,603, are,708,26.4231014251709,0.02350548841059208,9,0,5.193380355834961,0.27024856209754944,0.26874780654907227,26.193986892700195,0.016918350011110306,10,0,1.1438217163085938,0.24724717438220978,0.16847443580627441
The men that the architects inform,The man that the architects inform, do, does,plural_plural, are,708, is,603,20.750207901000977,0.00031837058486416936,90,4,1.1202964782714844,0.044118791818618774,0.029727987945079803,19.992399215698242,0.00012702957610599697,117,4,2.5262985229492188,0.05748112499713898,0.052885256707668304
The athlete that the chefs protect,The athletes that the chefs protect, has, have,singular_plural, is,603, are,708,26.3358154296875,0.01983528397977352,10,0,2.0259227752685547,0.278127521276474,0.2414502650499344,27.361675262451172,0.046640846878290176,4,0,3.6808242797851562,0.2873181104660034,0.2800770699977875
The doctor that the chefs influence,The doctors that the chefs influence, does, do,singular_plural, is,603, are,708,22.86529541015625,0.000675040006171912,85,0,2.1476306915283203,0.2519948184490204,0.22257179021835327,24.718957901000977,0.003485660068690777,34,0,2.8916473388671875,0.3271506428718567,0.3089987635612488
The man that the assistants praise,The men that the assistants praise, has, have,singular_plural, is,603, are,708,25.349384307861328,0.006878003012388945,21,0,4.150388717651367,0.13950303196907043,0.13730470836162567,26.244260787963867,0.014507845975458622,12,0,2.5233631134033203,0.2103392779827118,0.19347228109836578
